open_time,open,high,low,close,volume,adx,di_pos,di_neg
1747823100000,1.2786,1.2819,1.2767,1.2816,252267.5,16.01451783141683,12.944307554397028,27.007802146190414
1747823400000,1.2817,1.2884,1.2785,1.2881,284616.0,16.248258831460504,16.90217819256688,24.97993631451375
1747823700000,1.2881,1.2925,1.2861,1.2912,337285.3,15.834472977281985,19.24493748918063,23.739020735765042
1747824000000,1.2912,1.2916,1.2858,1.2868,362708.4,15.487341742080067,18.355042019174014,22.880491607210732
1747824300000,1.2868,1.2888,1.2848,1.2848,204582.0,15.294706667908187,17.745603437700765,22.95086519649342
1747824600000,1.2848,1.2912,1.2843,1.2903,271551.1,14.71238444179704,18.735404086806465,21.617486417472122
1747824900000,1.2902,1.2902,1.2823,1.2828,199987.6,14.456918649652774,17.468249927501404,21.846260034264535
1747825200000,1.2829,1.2935,1.2829,1.2928,267699.4,13.65610750770115,18.655376306772613,19.906940461534212
1747825500000,1.2929,1.305,1.2924,1.3046,503896.5,14.000392101584932,26.002839136734718,17.892665410774246
1747825800000,1.3046,1.3148,1.3026,1.3121,939910.4,15.262456731574426,31.18756785040156,16.18500659117083
1747826100000,1.3121,1.3326,1.3115,1.3326,1042637.3,17.60790346760285,39.212931996473884,13.742197352287683
1747826400000,1.3324,1.3389,1.3277,1.3311,1318580.9,20.09704716242045,40.566097901864936,12.650725925489258
1747826700000,1.3311,1.3348,1.3246,1.3282,608669.8,21.94457571056199,37.63447012446977,13.932862350644637
1747827000000,1.3283,1.3301,1.3239,1.3276,447385.7,23.553259145035366,35.93452948140807,13.813499417113913
1747827300000,1.3276,1.3287,1.3171,1.3189,600722.2,24.047569308070795,32.936876562799824,17.5513083304391
1747827600000,1.3188,1.325,1.3137,1.3199,592169.8,24.044615551461817,30.286410059361014,18.56018950884334
1747827900000,1.3198,1.3208,1.3069,1.3178,583560.6,23.18743288033479,27.368864009380417,21.484889522737845
1747828200000,1.3177,1.325,1.3155,1.3237,514258.4,22.770286080977854,28.4839241952123,20.062408507031602
1747828500000,1.3235,1.3314,1.3234,1.3258,478418.2,22.91449298228391,31.4019128232367,18.926027698521764
1747828800000,1.3257,1.3267,1.3118,1.3131,653141.8,21.716044539747617,28.198268936243277,24.937729917480095
1747829100000,1.3131,1.3156,1.301,1.3029,482891.7,20.714712210852863,25.457598389676633,29.70356969305018
1747829400000,1.3027,1.3095,1.3023,1.307,377298.6,19.784903619736305,24.208035124843764,28.245596754884506
1747829700000,1.3069,1.3229,1.3069,1.3201,424825.1,19.036799677584266,30.4669889408039,25.276465891236725
1747830000000,1.3197,1.3208,1.3108,1.311,426040.9,18.34213173130023,28.453804225123164,23.606258346358135
1747830300000,1.3112,1.3258,1.3108,1.3234,498498.3,18.111480465000948,28.924415215517605,21.329529511767685
1747830600000,1.3233,1.3233,1.3112,1.3124,495022.4,17.897304289151613,26.67130865341339,19.66803687478684
1747830900000,1.3121,1.3176,1.3092,1.3121,323944.7,17.461443290556556,25.214914953481397,19.894183838870244
1747831200000,1.312,1.312,1.3038,1.3058,251166.8,16.439248330128425,23.83024441244266,22.3744661983871
1747831500000,1.3057,1.306,1.2973,1.3013,494950.6,15.711210355792279,22.439256815116984,25.429481265835747
1747831800000,1.3013,1.3093,1.2996,1.3019,385026.3,14.675095372694175,23.19778693067175,23.763958005836503
1747832100000,1.3018,1.3047,1.2986,1.303,262115.1,13.820588819967123,22.21252019412691,23.45091419438801
1747832400000,1.303,1.305,1.2936,1.2969,558842.4,13.554379664344165,20.463306849064203,25.058081286669427
1747832700000,1.297,1.2986,1.2879,1.2932,517492.5,13.854411227919986,18.95454105497629,27.13823037116836
1747833000000,1.2933,1.2939,1.2857,1.288,402028.6,14.333968921031238,17.867314496378373,27.120508402783322
1747833300000,1.2879,1.2958,1.2869,1.2948,413966.2,14.513726914831969,18.086034670106663,25.416457233179194
1747833600000,1.2948,1.2973,1.2914,1.2964,320417.4,14.467428500285168,18.401051812485356,24.32529431871885
1747833900000,1.2963,1.3025,1.2951,1.2989,306794.6,13.716298881067724,21.243993095909858,22.992029898966308
1747834200000,1.299,1.3122,1.299,1.3094,743413.6,13.559672318767651,26.20153060095421,20.78681581113703
1747834500000,1.3093,1.3167,1.3067,1.3085,494552.6,13.851727850692425,27.556241285040993,19.28881505002604
1747834800000,1.3086,1.3173,1.3008,1.3155,688616.8,13.374660629654342,24.428125394729896,21.158307755149934
1747835100000,1.3158,1.3202,1.308,1.3167,1853957.7,13.230119492285553,24.373609229125417,19.404337421994253
1747835400000,1.3168,1.3261,1.3152,1.3183,1284989.0,13.664311632855547,26.571582282942746,17.97094966109133
1747835700000,1.318,1.3291,1.3164,1.3183,612833.5,14.337529842154098,26.321384251077856,16.446541177473964
1747836000000,1.3182,1.3224,1.3123,1.3206,912786.3,14.395496170625334,24.538662539599464,18.08202906114956
1747836300000,1.3207,1.325,1.3145,1.3189,392918.2,14.70506072971759,24.554397334398754,16.80755233405666
1747836600000,1.319,1.3207,1.3129,1.3181,570648.0,14.761811487423358,23.243764053748226,17.005327409644476
1747836900000,1.3178,1.3226,1.3125,1.3212,307591.6,15.017425729098603,22.936739964957457,15.827262620742738
1747837200000,1.3212,1.3253,1.3178,1.3179,391640.4,15.540194515294903,23.622454390483952,14.996460641257805
1747837500000,1.3178,1.3178,1.3111,1.3122,305268.1,15.015103374829279,22.470748506073054,19.069085346582174
1747837800000,1.3126,1.3202,1.3001,1.3032,653144.1,14.669512447786426,19.45184522131139,23.859574999368117
